Country,Device,Latitude,Longitude
United States of America,2,39.7837304,-100.445882
Canada,3,61.0666922,-107.991707
United Kingdom,1,54.7023545,-3.2765753
Australia,0,-24.7761086,134.755
Germany,2,51.1638175,10.4478313
France,1,46.603354,1.8883335
Brazil,3,-10.3333333,-53.2
Mexico,0,19.4326296,-99.1331785
Spain,2,39.3260685,-4.8379791
Italy,1,42.6384261,12.674297
United States of America,2,31.79713154314046,-110.1857303361197
Canada,3,50.98085263288393,-110.94322712451005
United Kingdom,0,54.7023545,-3.2765753
Australia,2,-24.7761086,134.755
Germany,1,51.1638175,10.4478313
France,3,46.603354,1.8883335
Brazil,0,-10.3333333,-53.2
Mexico,2,19.4326296,-99.1331785
Spain,1,39.3260685,-4.8379791
Italy,3,42.6384261,12.674297
United States of America,0,39.7837304,-100.445882
Canada,2,61.0666922,-107.991707
United Kingdom,1,56.67496317657587,-5.259811283630175
Australia,3,-24.7761086,134.755
Germany,0,51.1638175,10.4478313
France,2,46.603354,1.8883335
Brazil,1,-10.3333333,-53.2
Mexico,3,19.4326296,-99.1331785
Spain,0,39.3260685,-4.8379791
Italy,2,42.6384261,12.674297
United States of America,1,39.7837304,-100.445882
Canada,3,63.918474887307504,-91.74656940559116
United Kingdom,0,51.907468975585104,-2.6550882822071253
Australia,2,-26.22460237018805,135.98985025480684
Germany,1,54.74000046701067,8.978252747477102
France,3,46.273949532944805,4.574039072270921
Brazil,0,-16.554523650229456,-46.22434941980682
Mexico,2,27.15891934531094,-103.31045098692375
Spain,1,40.18406539921098,-4.120581292293864
Italy,3,45.5130279205524,10.406731989350495
United States of America,0,41.86257827735476,-76.57959785375157
Canada,2,67.70303228338028,-85.80122119791542
United Kingdom,1,50.86594264597732,-3.634879868150152
Australia,3,-19.176590731362847,130.08706367790333
Germany,0,49.70256866995489,7.639177628049939
France,2,49.50792799772121,3.756113694584698
Brazil,1,-10.25773631358656,-46.68403318877229
Mexico,3,17.025136233958328,-96.38279571269749
Spain,0,37.86728215902332,-3.3391265155666163
Italy,2,44.68715324104642,10.860217688740988
United States of America,1,38.94319425846484,-109.34119371921366
Canada,3,60.84802047697145,-101.73067206041392
United Kingdom,0,51.71628387793535,-4.653422120867407
Australia,2,-20.8236360281436,141.2540736509557
Germany,1,53.49775249985687,7.381413957652644
France,3,48.11264748780776,-2.794391960054313
Brazil,0,-3.096626778451128,-66.14123747032112
Mexico,2,23.95388257015438,-101.42403984830412
Spain,1,39.0903516250983,-0.630588125261772
Italy,3,41.62468101186697,15.995945784815447
United States of America,0,36.0071409774355,-92.37954631646318
Canada,2,65.52880239494922,-131.77972135687904
United Kingdom,1,53.10049355029013,-0.1635263695530238
Australia,3,-15.5132755622212,143.03425027814336
Germany,0,51.52451995380721,12.22741097706933
France,2,4.6421995915479615,-53.12664905378436
Brazil,1,1.539546641348366,-69.32688594025558
Mexico,3,24.337928593483237,-99.30208492646744
Spain,0,42.41576453718768,2.7013455585422683
Italy,2,44.29930315341841,7.559805867432614
United States of America,2,60.75825476132693,-165.01912094522362
Canada,2,63.089390055111615,-133.81225719968006
United Kingdom,0,57.880844444092354,-4.136918221378346
Australia,2,-34.02937358402762,117.9573076113551
Germany,0,52.22976368245852,12.692701434606334
France,0,46.603354,1.8883335
Brazil,2,-10.3333333,-53.2
Mexico,3,20.19418257003459,-103.52600338215916
Spain,0,38.4158542292662,-6.830832531266156
Italy,3,45.747969768522026,9.793697120091494
United States of America,3,39.7837304,-100.445882
Canada,0,61.0666922,-107.991707
United Kingdom,2,54.7023545,-3.2765753
Australia,2,-19.94134790088257,144.856641191495
Germany,0,48.215433002356,11.915553096964516
France,2,45.321435263889526,5.643606618269253
Brazil,1,-5.949389106343524,-44.84989557932508
Mexico,3,14.897917487165358,-92.30460214808724
Spain,2,42.97180687716705,-6.109836715155241
Italy,2,37.90967864290622,14.967758735059247
United States of America,3,65.2445378205552,-163.98896189898983
Canada,1,61.0666922,-107.991707
United Kingdom,2,54.25454747697117,-0.6493854118103295
Australia,2,-32.01727058566295,143.6873373677729
Germany,0,54.69014613475592,9.717663846193911
France,0,49.92424665531185,4.491974600716787
Brazil,3,1.8125490227466727,-51.57646410667189
Mexico,3,18.585889663363588,-92.122267699358
Spain,3,39.3260685,-4.8379791
Italy,0,42.6384261,12.674297
United States of America,3,32.62459383759227,-107.3915734457203
Canada,3,66.03868897845345,-91.81206456429084
United Kingdom,0,51.95505893125039,-3.491160100301558
Australia,0,-33.86226166959074,150.4038591689499
Germany,0,48.42191391311848,10.183702960463869
France,3,46.98979455593084,4.092200396885936
Brazil,1,-19.015019064183377,-39.84863628503732
Mexico,1,19.4326296,-99.1331785
Spain,3,38.54772989857935,-2.390884524251572
Italy,0,41.48342296272287,14.546601789115678
United States of America,3,28.011945242532693,-82.49149831513377
Canada,0,66.82526081492294,-112.29932806115784
United Kingdom,3,54.7023545,-3.2765753
Australia,2,-28.40029392483222,121.22377125154
Germany,0,50.80472981615943,9.69401917557404
France,1,45.96172251111736,6.666443721430106
Brazil,3,-8.058800236383785,-35.84928020779208
Mexico,2,17.919518083558167,-89.2265156138632
Spain,2,36.82946974609983,-4.400351893310335
Italy,1,43.2363249652664,11.46257156938102
United States of America,1,33.49134232976279,-80.68748862985862
Canada,1,64.98777255013026,-137.13281998046824
United Kingdom,2,52.20724453380458,-0.2622517487291871
Australia,0,-16.601961096374108,130.66550049569898
Germany,2,49.91186385062092,6.796281466701048
France,0,46.18996425676009,0.680640086858574
Brazil,2,-5.125070555809277,-50.6821220047856
Mexico,2,21.34942421352912,-99.60623649253436
Spain,1,41.73018040410405,-1.085764193812576
Italy,3,46.34562695670411,12.02602925536253
United States of America,0,64.00648103445734,-158.44325491614026
Canada,1,50.56331233499623,-56.70076502676358
United Kingdom,1,51.65902399467748,-3.3792756083180926
Australia,3,-14.358334946512333,133.49859439224858
Germany,1,53.201562021052425,11.299650734678377
France,1,46.98376177859107,5.358426493533997
Brazil,0,-3.0482889228481014,-43.12705005314396
Mexico,0,23.289304262620583,-103.17255855797602
Spain,2,41.5223127950211,0.890851919892393
Italy,2,37.73980571551,12.64441953935925
United States of America,2,48.66679203780887,-94.95343868201572
Canada,1,48.28272372898483,-67.49868296673453
United Kingdom,3,53.14229688749934,-1.1377661305171207
Australia,1,-24.7761086,134.755
Germany,0,50.16636712635047,8.289593708784189
France,3,44.63217366054173,0.8665408411136966
Brazil,0,-22.003282557340405,-55.7300725679301
Mexico,2,17.87149898519181,-99.68129738486554
Spain,1,39.78805524743712,-6.964039829000222
Italy,0,42.82065619431238,11.42034035716523
United States of America,0,41.059838204799,-102.9752495014001
Canada,3,61.42006592971212,-107.58670012643806
United Kingdom,2,52.67603012339669,-3.988008073131345
Australia,0,-31.097824287625293,133.32365190316446
Germany,3,51.1638175,10.4478313
France,2,44.59384436723949,0.6451669045687893
Brazil,0,-4.727217537681078,-40.08905911525134
Mexico,2,30.726602139451543,-109.40287235722047
Spain,1,39.63740225289672,-3.7442910001308434
Italy,2,42.04847498282973,13.426934609098543
United States of America,3,45.32191162919335,-93.86170990747917
Canada,0,80.78848098275847,-91.95378853285142
United Kingdom,0,53.72554950335791,-0.6397872680086341
Australia,3,-26.056396057553137,132.67442483799726
Germany,3,51.56361027892641,13.633978904308666
France,0,46.249870409606814,0.3462507083708388
Brazil,2,-13.618742440077371,-47.20146821644744
Mexico,3,26.543038686570537,-101.48719909165196
Spain,3,41.81116546616821,-2.937154944817236
Italy,0,41.773069571933696,15.516916502957637
United States of America,3,44.51907871985529,-88.01608610717508
Canada,2,59.0332942123041,-99.66012178998682
United Kingdom,2,53.6924401221882,-0.4609061173279141
Australia,3,-14.966191126363494,141.92990750910917
Germany,0,53.18207777535571,9.070429513158338
France,1,48.11978983353988,5.713313241825055
Brazil,2,-6.111678982041479,-43.92844404868568
Mexico,0,21.732447293266105,-101.06025855756272
Spain,3,36.98449410846028,-4.065491394278449
Italy,0,40.29509635624549,16.72872250661444
